Horn,x,y,z,theta,phi
0,-960,-388,"101,689923553467","9,55265088399251","25,1514327772458"
1,-960,0,"106,654273122152","8,71028484503428","-1,41314051628113"
2,-840,-194,"100,710267969767","13,7912437009811","9,3100360528628"
3,-600,-194,"82,6065913391113","6,087533715566","18,1147563536962"
4,-600,194,"82,5723268890381","6,06341273148855","-17,2673900381724"
5,-488,-388,"66,9608799489339","5,75476864337921","33,6310338338216"
6,-360,194,"41,8277140617371","3,89334707657496","-26,6514774258931"
7,-240,-388,"23,7895621506373","3,99019285917282","54,4069666671753"
8,-120,194,"10,5435970114451","2,03267860730489","-51,7981592051188"
9,0,0,"5,67601819346348","0,444181511302789","8,26548678398132"
10,120,-194,"8,32387029958501","1,7679203414917","100,836249936422"
11,240,-388,"22,9407135454814","3,33665289004644","114,018656489054"
12,240,0,"8,64394807177285","1,56058711926142","140,210909908613"
13,360,194,"17,4768698914846","2,70674080212911","-148,800012102127"
14,480,-388,"38,2763573074341","4,10810451666514","137,909984130859"
15,-380,0,"45,5993416213989","3,56929930369059","1,73809546351433"
16,380,0,"13,441851348804","2,28994815905889","166,013556946119"
17,-285,495,"32,3792688115438","4,92635255813599","-56,1784717559815"
18,-95,495,"17,2480101299286","4,00406467835108","-74,6900650755564"
19,95,-495,"22,5564901987712","3,81517959117889","95,0241667175293"
20,285,495,"36,496438647906","4,13463252782822","-115,591155757904"
21,190,-660,"42,2641439882914","5,06075678825378","102,568213132222"
22,-388,660,"53,2500183009853","6,55328228473663","-54,2827498118083"
23,-800,-300,"97,0258969370524","8,12978064537048","24,3121581975619"
24,-880,-250,"101,828232549032","8,62881330013275","18,8300021417936"
25,-560,-100,"78,0669094340007","5,46322443644206","9,26964768648148"
26,-680,-190,"90,3284862518311","6,78795085748037","13,5990701937675"
27,-530,-190,"73,8473215993245","5,44523535410563","17,9651503149668"
28,-630,-280,"85,0026146697998","6,59792949994405","22,563403023084"
29,-850,-100,"101,920810801188","8,0182137187322","12,4400798424085"
30,-270,-360,"27,1971104749044","4,01442032575607","47,5214077504476"
31,-370,-270,"44,3558471806844","4,27291445970535","33,5757720692952"
32,-800,-50,"99,4311545308431","7,48671281178792","12,4997357773781"
33,-700,-50,"92,5728984578451","6,61985501766205","13,1650730435054"
34,-500,-50,"69,3198396809896","4,79072138150533","13,7900166757902"
35,-600,-50,"82,9762806447347","5,71631573200226","13,6842092804114"
36,-200,100,"16,3342690944672","2,11301119486491","-29,6880150731405"
37,200,100,"8,34886052914352","1,61615040858587","-100,553300334613"
38,-100,250,"10,2088853866855","2,32697140375773","-62,4553697077433"
